,격자고유번호,NUMPOINTS,x,y,visited,index
48864,다사653419,0,653,419,False,23322
48865,다사653417,0,653,417,False,23323
48866,다사654506,0,654,506,False,23324
48867,다사654500,0,654,500,False,23325
48868,다사654499,0,654,499,False,23326
48869,다사641536,0,641,536,False,23327
48870,다사641563,0,641,563,False,23328
48871,다사641564,0,641,564,False,23329
48872,다사641429,0,641,429,False,23330
48873,다사641444,0,641,444,False,23331
48874,다사641455,1,641,455,False,23332
48875,다사641460,1,641,460,False,23333
48876,다사641466,0,641,466,False,23335
48877,다사652454,1,652,454,False,23320
48878,다사641489,0,641,489,False,23336
48879,다사641501,0,641,501,False,23337
48880,다사640537,0,640,537,False,23338
48881,다사640540,0,640,540,False,23339
48882,다사640559,1,640,559,False,23340
48883,다사640565,0,640,565,False,23341
48884,다사640570,0,640,570,False,23342
48885,다사640425,0,640,425,False,23343
48886,다사640464,0,640,464,False,23344
48887,다사640489,0,640,489,False,23345
48888,다사640508,0,640,508,False,23346
48889,다사640511,0,640,511,False,23347
48890,다사653499,1,653,499,False,23321
48891,다사652457,0,652,457,False,23319
48892,다사634439,0,634,439,False,23408
48893,다사649459,0,649,459,False,23303
48894,다사646586,0,646,586,False,23290
48895,다사647467,0,647,467,False,23291
48896,다사647542,1,647,542,False,23293
48897,다사648412,0,648,412,False,23294
48898,다사648543,0,648,543,False,23295
48899,다사648500,0,648,500,False,23296
48900,다사648442,0,648,442,False,23297
48901,다사648418,0,648,418,False,23298
48902,다사648573,0,648,573,True,23299
48903,다사649410,0,649,410,False,23300
48904,다사649403,0,649,403,False,23301
48905,다사649493,0,649,493,False,23302
48906,다사649412,0,649,412,False,23305
48907,다사652460,0,652,460,False,23318
48908,다사649552,1,649,552,False,23306
48909,다사650405,0,650,405,False,23307
48910,다사650503,0,650,503,False,23308
48911,다사650464,0,650,464,False,23309
48912,다사650432,0,650,432,False,23310
48913,다사650418,0,650,418,False,23311
48914,다사650417,0,650,417,False,23312
48915,다사650566,0,650,566,False,23313
48916,다사651501,0,651,501,False,23314
48917,다사651444,0,651,444,False,23315
48918,다사651578,0,651,578,False,23316
48919,다사652405,0,652,405,False,23317
48920,다사639548,0,639,548,False,23348
48921,다사639551,1,639,551,False,23349
48922,다사639559,1,639,559,False,23350
48923,다사635496,0,635,496,False,23393
48924,다사698496,0,698,496,False,23381
48925,다사637575,0,637,575,False,23382
48926,다사637557,0,637,557,False,23383
48927,다사637556,0,637,556,False,23384
48928,다사636487,0,636,487,False,23385
48929,다사636505,0,636,505,False,23386
48930,다사636517,0,636,517,False,23387
48931,다사636518,0,636,518,False,23388
48932,다사636525,0,636,525,False,23389
48933,다사636544,1,636,544,False,23390
48934,다사636553,1,636,553,False,23391
48935,다사636577,0,636,577,False,23392
48936,다사635506,1,635,506,False,23394
48937,다사639563,0,639,563,False,23351
