,격자고유구역,NUMPOINTS,x,y,visited,index
28848,다사456518,0,456,518,False,53244
28849,다사551534,0,551,534,False,53245
28850,다사600660,0,600,660,False,53246
28851,다사554636,0,554,636,False,53247
28852,다사638568,0,638,568,False,53248
28853,다사523443,0,523,443,False,53249
28854,다사580484,0,580,484,False,53250
28855,다사648570,0,648,570,False,53251
28856,다사545403,0,545,403,False,53252
28857,다사577489,0,577,489,False,53254
28858,다사687470,0,687,470,False,53239
28859,다사662498,0,662,498,False,53255
28860,다사380521,0,380,521,False,53256
28861,다사561647,0,561,647,False,53257
28862,다사533583,0,533,583,True,53258
28863,다사636646,0,636,646,False,53259
28864,다사641399,0,641,399,False,53260
28865,다사452507,0,452,507,False,53261
28866,다사630655,0,630,655,False,53262
28867,다사557599,0,557,599,False,53263
28868,다사536399,0,536,399,False,53264
28869,다사619473,0,619,473,False,53265
28870,다사624449,0,624,449,False,53266
28871,다사514383,0,514,383,False,53240
28872,다사632615,0,632,615,False,53238
28873,다사555494,0,555,494,False,53268
28874,다사477408,0,477,408,False,53223
28875,다사546507,0,546,507,False,53211
28876,다사647591,0,647,591,False,53212
28877,다사505504,0,505,504,False,53213
28878,다사679422,0,679,422,False,53214
28879,다사607619,0,607,619,False,53215
28880,다사495503,0,495,503,False,53216
28881,다사573666,0,573,666,False,53217
28882,다사712532,0,712,532,False,53218
28883,다사510569,0,510,569,False,53219
28884,다사571412,0,571,412,True,53220
28885,다사460502,0,460,502,False,53221
28886,다사527466,0,527,466,False,53222
28887,다사661497,0,661,497,False,53224
28888,다사506400,0,506,400,False,53237
28889,다사525540,0,525,540,False,53225
28890,다사574645,0,574,645,False,53226
28891,다사561441,0,561,441,False,53227
28892,다사609605,0,609,605,False,53228
28893,다사620465,0,620,465,False,53229
28894,다사367498,0,367,498,False,53230
28895,다사381548,0,381,548,False,53231
28896,다사677456,0,677,456,False,53232
28897,다사639609,0,639,609,False,53233
28898,다사521397,0,521,397,False,53234
28899,다사657591,0,657,591,False,53235
28900,다사388498,0,388,498,False,53236
28901,다사614639,0,614,639,False,53267
28902,다사643478,0,643,478,False,53269
28903,다사512582,0,512,582,False,53327
28904,다사541549,0,541,549,False,53313
28905,다사624662,0,624,662,False,53301
28906,다사498479,0,498,479,False,53302
28907,다사622449,0,622,449,False,53303
28908,다사656549,0,656,549,False,53304
28909,다사513403,0,513,403,False,53305
28910,다사639475,0,639,475,False,53306
28911,다사626459,0,626,459,False,53307
28912,다사483602,0,483,602,False,53308
28913,다사656406,0,656,406,False,53309
28914,다사454423,0,454,423,False,53310
28915,다사497602,0,497,602,False,53311
28916,다사564650,0,564,650,False,53312
28917,다사402451,0,402,451,False,53314
28918,다사504517,0,504,517,False,53299
28919,다사658595,0,658,595,False,53315
28920,다사494546,0,494,546,False,53316
28921,다사517548,0,517,548,False,53317
28922,다사700520,0,700,520,False,53318
28923,다사606392,0,606,392,False,53319
28924,다사525534,0,525,534,False,53320
28925,다사593484,0,593,484,False,53321
28926,다사540461,0,540,461,False,53322
28927,다사577655,0,577,655,True,53323
28928,다사632643,0,632,643,False,53324
28929,다사381544,0,381,544,False,53325
28930,다사443441,0,443,441,False,53326
28931,다사470497,0,470,497,False,53300
28932,다사519385,0,519,385,True,53298
28933,다사466504,0,466,504,False,53270
28934,다사558505,0,558,505,False,53283
28935,다사618386,0,618,386,False,53271
28936,다사492600,0,492,600,False,53272
28937,다사573419,0,573,419,True,53273
28938,다사580549,0,580,549,False,53274
28939,다사619658,0,619,658,False,53275
28940,다사545591,0,545,591,False,53276
28941,다사648540,0,648,540,False,53277
28942,다사380504,0,380,504,False,53278
28943,다사554584,0,554,584,False,53279
